Fecha procesado,2026-04-15 16:51:47
Fecha y Hora,2026-04-15 15:19:13
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),2.5
Velocidad (mm/min),1000
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_150x150x150_15.csv

X,Y,Z,Time (s),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-15.0,75.0,-75.0,0.75,-32.565872851555895,470.3748335523525,-19.22646821288897,471.8848335523524
0.0,75.0,-75.0,0.75,-33.05537843919797,470.475146492878,-19.09,472.0151464928781
15.0,75.0,-75.0,0.75,-33.377658935555125,470.09483355235244,-19.3894551131545,471.6748335523524
30.0,75.0,-75.0,0.75,-34.11,469.3016346605365,-19.981089773690993,470.9616346605365
45.0,75.0,-75.0,0.75,-35.37753803181056,468.0368011081839,-20.505378439197983,469.8162562213385
60.0,75.0,-75.0,0.75,-37.46015142346273,466.32782045261797,-19.858859751821427,468.247820452618
75.0,75.0,-75.0,0.75,-39.5467811534146,464.4321290728943,-16.01295638054735,466.3821290728944
75.0,75.0,-60.0,0.75,-34.45,468.1404439378704,-17.155428913685558,469.71044393787037
60.0,75.0,-60.0,0.75,-35.33706357422205,467.98706357422196,-18.649999999999995,469.68706357422207
45.0,75.0,-60.0,0.75,-34.92701309973447,468.572179547382,-19.22353178711102,470.262179547382
30.0,75.0,-60.0,0.75,-34.14402619946893,469.18005047448753,-19.182391538932453,470.8100504744876
15.0,75.0,-60.0,0.75,-33.51706357422205,469.8181028734254,-18.95651868737655,471.38810287342534
0.0,75.0,-60.0,0.75,-32.85576180898059,470.0729869002655,-18.756518687376552,471.5865186873765
-15.0,75.0,-60.0,0.75,-32.2105448868455,470.1118971265745,-18.666468212888976,471.5818971265745
-30.0,75.0,-60.0,0.75,-31.470544886845495,469.8929869002655,-18.550544886845497,471.3029869002656
-45.0,75.0,-60.0,0.75,-30.545872851555895,469.70945511315443,-18.06701309973447,471.0394551131545
-60.0,75.0,-60.0,0.75,-29.819999999999997,469.8516346605365,-16.93891022630901,471.10054488684546
-75.0,75.0,-60.0,0.75,-30.46379425314907,471.37369330417386,-14.734853507121887,472.5836933041739
-75.0,60.0,-60.0,0.75,-29.386468212888975,468.3700504744875,-15.42971757919255,469.5400504744876
-60.0,60.0,-60.0,0.75,-29.81542891368556,468.5240261994689,-17.169455113154502,469.78402619946894
-45.0,60.0,-60.0,0.75,-30.846468212888972,468.91140271421654,-18.019999999999996,470.26140271421656
-30.0,60.0,-60.0,0.75,-31.745378439197985,469.2250654986723,-18.23706357422205,470.64506549867235
-15.0,60.0,-60.0,0.75,-32.3135822615986,469.43483355235253,-18.27592332604348,470.89483355235245
0.0,60.0,-60.0,0.75,-32.72,469.3738142079185,-18.33108977369099,470.86381420791844
15.0,60.0,-60.0,0.75,-33.09298690026553,469.1489607007966,-18.565973800531054,470.67896070079655
