Fecha procesado,2026-05-27 18:28:17
Fecha y Hora,2026-05-27 12:47:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),85
Paso radial (mm),85
Resol theta (deg),4
Resol phi (deg),4
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_85_85_4_4_R2.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
2.8619,-11.4783,84.1728,20.5,84.99999999999999,8.0,283.99999999999994,458.5236428296863,35.629455113154506,59.20945511315449,463.701572868006
2.0542,-11.65,84.1728,20.9,84.99999999999999,8.0,279.99999999999994,458.45859728578336,35.61646821288897,59.19999999999999,463.63504853840357
1.2365,-11.7649,84.1728,22.6,84.99999999999999,8.0,276.0,458.47184665208687,35.769999999999996,59.180544886845496,463.6574856137649
0.4129,-11.8225,84.1728,21.3,84.99999999999999,8.0,272.0,458.47407667395646,35.77298690026553,59.17651868737656,463.65940725683646
-0.4129,-11.8225,84.1728,21.5,84.99999999999999,8.0,267.99999999999994,458.34678115341455,35.79597380053105,59.19,463.5370315670846
-1.2365,-11.7649,84.1728,22.6,84.99999999999999,8.0,263.99999999999994,458.39493450132767,35.764026199468944,59.187013099734465,463.5817986786592
-2.0542,-11.65,84.1728,20.9,84.99999999999999,8.0,259.99999999999994,458.5099999999999,35.61407667395652,59.15298690026553,463.6796937720708
-2.8619,-11.4783,84.1728,21.2,84.99999999999999,8.0,256.0,458.5452774902228,35.650544886845495,59.14,463.71572375682325
-3.6556,-11.2507,84.1728,21.1,84.99999999999999,8.0,252.0,458.51353178711094,35.67054488684549,59.12950558764207,463.6845318052495
-4.4315,-10.9683,84.1728,22.9,84.99999999999999,8.0,248.0,458.5019476010621,35.647013099734465,59.12592332604348,463.6708102803722
-5.1858,-10.6325,84.1728,21.6,84.99999999999999,8.0,243.99999999999994,458.5612008162662,35.6405448868455,59.109999999999985,463.7268759020629
-5.9149,-10.2448,84.1728,21.4,84.99999999999999,8.0,239.99999999999994,458.55462156080193,35.58945511315451,59.1194551131545,463.7176514247628
-6.6151,-9.8073,84.1728,21.3,84.99999999999999,8.0,236.0,458.601846652087,35.60646821288897,59.09755798657997,463.76286579595495
-7.2831,-9.3219,84.1728,22.2,84.99999999999999,8.0,231.99999999999994,458.63737651474764,35.5205448868455,59.12298690026552,463.7946526485593
-7.9156,-8.7912,84.1728,23.5,84.99999999999999,8.0,228.0,458.63023194631984,35.543481312623435,59.17108977369099,463.7954792621012
-8.5096,-8.2176,84.1728,21.2,84.99999999999999,8.0,224.0,458.7279214015931,35.620544886845494,59.19244201342003,463.90071597592305
-9.0621,-7.604,84.1728,22.9,84.99999999999999,8.0,220.0,458.6645206118268,35.650544886845495,59.14646821288897,463.83446241182224
-9.5704,-6.9533,84.1728,21.0,84.99999999999999,8.0,215.99999999999994,458.6757113344931,35.650544886845495,59.11353178711102,463.8413297230832
-10.0322,-6.2688,84.1728,21.7,84.99999999999999,8.0,212.0,458.6754289136856,35.712986900265534,59.08701309973447,463.84247502739566
-10.445,-5.5537,84.1728,21.5,84.99999999999999,8.0,208.0,458.614127148444,35.6305448868455,59.0994551131545,463.7771004951996
-10.807,-4.8116,84.1728,21.4,84.99999999999999,8.0,204.0,458.61321884658537,35.68701309973447,59.13597380053105,463.7851989899459
-11.1163,-4.046,84.1728,21.7,84.99999999999999,8.0,200.0,458.6541776229317,35.673531787111024,59.14706357422205,463.8260780191071
