X (mm),Y (mm),RingNumber,Angle (deg)
92.61081573600681,-258.9367428711333,1.0,126.33920288085938
49.26505234298503,-270.551205167604,1.0,245.60809326171875
32.94233080510057,-273.01978470639693,1.0,240.32716369628906
16.500897032295704,-274.5044997757406,1.0,76.1109848022461
5.051668046482832e-14,-275.0,1.0,268.74273681640625
-16.5008970322956,-274.5044997757406,1.0,143.07684326171875
-32.94233080510046,-273.01978470639693,1.0,295.339599609375
-49.26505234298517,-270.55120516760394,1.0,130.93214416503906
-92.61081573600673,-258.9367428711333,1.0,331.58087158203125
-107.98099701611054,-252.91323469404824,1.0,243.235595703125
-122.96205387267104,-245.97831877507895,1.0,263.1570129394531
-137.50000000000003,-238.15698604072062,1.0,68.49915313720703
-151.54244590306962,-229.4774217427833,1.0,285.5700378417969
-165.03878769028623,-219.97090388894765,1.0,297.3092041015625
-177.9403894315971,-209.67169052814825,1.0,4.714493274688721
-209.67169052814816,-177.9403894315972,1.0,194.48109436035156
-219.97090388894756,-165.0387876902863,1.0,130.75503540039062
-229.4774217427832,-151.5424459030697,1.0,223.75750732421875
-238.15698604072054,-137.5000000000001,1.0,309.28314208984375
-245.978318775079,-122.96205387267092,1.0,171.9596405029297
-252.9132346940482,-107.98099701611065,1.0,182.3531036376953
-258.9367428711333,-92.61081573600683,1.0,66.05734252929688
-270.55120516760394,-49.2650523429851,2.0,267.2561340332031
-273.01978470639693,-32.942330805100596,2.0,332.0965881347656
-274.5044997757406,-16.500897032295693,2.0,142.634033203125
-275.0,0.0,2.0,81.11453247070312
-274.5044997757406,16.500897032295693,2.0,207.3488006591797
-273.01978470639693,32.942330805100596,2.0,19.81648063659668
-270.55120516760394,49.2650523429851,2.0,212.65716552734375
-258.9367428711333,92.6108157360068,2.0,79.98101043701172
-252.91323469404819,107.98099701611066,2.0,274.0729675292969
-245.97831877507898,122.96205387267098,2.0,6.158500671386719
-238.15698604072065,137.49999999999997,2.0,300.5198974609375
-229.47742174278324,151.54244590306962,2.0,360.0
-219.97090388894762,165.03878769028626,2.0,60.12150573730469
-209.6716905281482,177.94038943159717,2.0,21.563032150268555
-177.94038943159717,209.67169052814816,2.0,67.123291015625
-165.03878769028626,219.9709038889476,2.0,300.9122619628906
-151.54244590306962,229.4774217427833,2.0,174.1043243408203
-137.50000000000003,238.15698604072062,2.0,184.74835205078125
-122.96205387267099,245.97831877507898,2.0,104.9935531616211
-107.98099701611065,252.91323469404819,2.0,221.34136962890625
-92.61081573600683,258.9367428711333,2.0,80.66986083984375
