Fecha procesado,2026-05-11 13:01:00
Fecha y Hora,2026-05-08 17:32:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Eje rapido,Z
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_170x170x170_5_R2.csv

X,Y,Z,T_robot (C),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-85.0,-70.0,-35.0,24.5,460.730262466038,26.999999999999993,59.654571086314434,465.36012141514277
-85.0,-70.0,-40.0,24.7,461.0447830778648,27.222986900265525,59.690544886845494,465.6891067740107
-85.0,-70.0,-45.0,24.7,461.3710392992034,27.463531787111023,59.60298690026553,466.0150185666573
-85.0,-70.0,-50.0,23.9,461.74945511315445,27.719999999999995,59.2394551131545,466.3585216755436
-85.0,-70.0,-55.0,24.2,462.1250654986723,27.917013099734472,58.624026199468936,466.6644535749417
-85.0,-70.0,-60.0,24.2,462.1178709271055,28.03646821288897,57.69108977369098,466.5482097482846
-85.0,-70.0,-65.0,23.7,461.9728859512903,27.987013099734465,56.51353178711102,466.25743911648357
-85.0,-70.0,-70.0,24.8,461.6459233260433,27.736468212888973,55.08054488684549,465.74685894540556
-85.0,-70.0,-75.0,24.0,460.7311402481785,27.190494412357914,53.7094551131545,464.6474062655759
-85.0,-70.0,-80.0,24.9,459.47755798658,26.341089773690992,52.40348131262344,463.2057902892181
-85.0,-70.0,-85.0,24.2,457.8229869002655,25.175973800531057,51.52701309973447,461.40085616529353
-85.0,-65.0,-85.0,24.5,457.918647760271,25.779455113154505,52.78646821288896,461.6713977483516
-85.0,-65.0,-80.0,23.8,459.4545206118268,26.776518687376555,53.38999999999999,463.3205483935059
-85.0,-65.0,-75.0,25.2,460.4875075120924,27.532986900265527,54.39701309973447,464.5060225406364
-85.0,-65.0,-70.0,23.7,461.3029869002655,28.033531787111023,55.53457108631443,465.4786925448966
-85.0,-65.0,-65.0,24.2,461.77433913999454,28.299455113154504,56.6894551131545,466.10094804549203
-85.0,-65.0,-60.0,24.2,461.9529869002655,28.38701309973447,57.70701309973447,466.40806594622086
-85.0,-65.0,-55.0,24.2,461.8737132589432,28.339999999999996,58.512986900265524,466.4271135296437
-85.0,-65.0,-50.0,24.2,461.6864177384014,28.207557986579964,59.109999999999985,466.30891772695486
-85.0,-65.0,-45.0,26.6,461.4354793881731,28.015973800531054,59.43054488684549,466.0896760192533
-85.0,-65.0,-40.0,24.9,461.11701309973444,27.826468212888972,59.60298690026553,465.78506647450257
-85.0,-65.0,-35.0,24.2,460.8256103855179,27.67597380053106,59.61407667395652,465.48903408209435
-85.0,-65.0,-30.0,25.1,460.6999999999999,27.53402619946894,59.459999999999994,465.3365493906028
-85.0,-65.0,-25.0,24.5,460.49592332604345,27.44592332604347,59.282442013420024,465.1066351259664
-85.0,-65.0,-20.0,24.2,460.3208578273711,27.395923326043476,59.148910226309,464.91334928863165
-85.0,-65.0,-15.0,24.5,460.30755798657987,27.378910226309003,58.93407667395652,464.8718942441677
-85.0,-65.0,-10.0,24.9,460.3648335523524,27.373531787111023,58.859455113154496,464.91883772374996
-85.0,-65.0,-5.0,23.7,460.32488402684,27.410000000000004,58.71597380053106,464.86328370142155
-85.0,-65.0,0.0,24.3,460.3389607007966,27.4,58.66402619946894,464.8700750844493
-85.0,-65.0,5.0,24.6,460.39298690026544,27.419999999999998,58.66054488684547,464.9243146076247
-85.0,-65.0,10.0,24.8,460.404621560802,27.407557986579967,58.63651868737655,464.93207150411564
-85.0,-65.0,15.0,25.1,460.3967001592088,27.3894551131545,58.66,464.9261224849427
-85.0,-65.0,20.0,25.1,460.3964177384014,27.373531787111023,58.73348131262344,464.9341819397159
-85.0,-65.0,25.0,24.2,460.39509601839046,27.335428913685554,58.71646821288897,464.92848240463104
-85.0,-65.0,30.0,23.5,460.285973800531,27.252986900265523,58.67,464.80971576817234
-85.0,-65.0,35.0,24.7,460.22493450132754,27.209999999999997,58.69,464.7492770696381
-85.0,-65.0,40.0,23.4,460.18841581395105,27.128910226309007,58.55298690026552,464.69108889063466
-85.0,-65.0,45.0,24.2,460.1844400889697,27.035923326043477,58.43597380053105,464.6670023620212
-85.0,-65.0,50.0,24.2,460.14298690026544,26.97701309973447,58.270544886845485,464.6017477697334
-85.0,-65.0,55.0,22.9,460.2079214015932,26.956468212888975,58.08103929920342,464.6411402634974
-85.0,-65.0,60.0,24.7,460.34859728578334,26.951089773690992,57.82244201342003,464.74791776120225
-85.0,-65.0,65.0,24.0,460.5414027142166,27.033531787111023,57.60891022630901,464.91717756211796
-85.0,-65.0,70.0,23.1,460.7596365849868,27.129455113154503,57.42841581395109,465.1166229920899
-85.0,-65.0,75.0,23.0,461.1034813126234,27.29298690026553,57.47244201342003,465.4722432149363
-85.0,-65.0,80.0,24.1,461.5543691883641,27.5094551131545,57.63402619946894,465.9515927791775
-85.0,-65.0,85.0,24.3,461.89207859840684,27.732986900265523,58.12701309973446,466.3605477377603
