Fecha procesado,2026-06-02 14:10:08
Fecha y Hora,2026-06-01 16:23:35
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),100
Paso radial (mm),100
Resol theta (deg),3
Resol phi (deg),3
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_100_100_6_6.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-6.5782,-8.1234,99.4522,23.8,100.0,6.0,231.0,457.58108977369096,36.72,54.03891022630901,462.2218254657883
-6.9943,-7.768,99.4522,23.4,100.0,6.0,228.0,457.5277094100427,36.74646821288897,54.03646821288898,462.17079927343303
-7.3913,-7.3913,99.4522,23.9,100.0,6.0,224.99999999999997,457.5825730107647,36.7694551131545,54.067013099734474,462.230511604326
-7.768,-6.9943,99.4522,22.6,100.0,6.0,221.99999999999997,457.50950558764197,36.73244201342003,54.07488402684005,462.1561565984316
-8.1234,-6.5782,99.4522,23.1,100.0,6.0,219.0,457.54781035901783,36.71353178711102,54.06189712657453,462.19105454512993
-8.4565,-6.144,99.4522,22.6,100.0,6.0,215.99999999999994,457.67971757919264,36.76701309973447,54.06,462.3256652357141
-8.7665,-5.693,99.4522,23.0,100.0,6.0,212.99999999999997,457.66,36.73353178711102,54.04298690026552,462.30149512050787
-9.0524,-5.2264,99.4522,23.0,100.0,6.0,209.99999999999997,457.57249248790754,36.682986900265526,54.019999999999996,462.2081650182321
-9.3136,-4.7455,99.4522,23.4,100.0,6.0,207.0,457.65768945527327,36.69,54.029455113154505,462.2941691578683
-9.5492,-4.2516,99.4522,23.0,100.0,6.0,204.0,457.63963658498676,36.722986900265525,54.03945511315451,462.28008549951886
-9.7586,-3.746,99.4522,23.4,100.0,6.0,200.99999999999997,457.6246215608019,36.78701309973447,54.064076673956514,462.27319084938796
-9.9412,-3.2301,99.4522,21.5,100.0,6.0,197.99999999999997,457.6090616497717,36.743531787111024,54.103531787111024,462.2589453801992
-10.0967,-2.7054,99.4522,23.2,100.0,6.0,194.99999999999997,457.7095356360116,36.72999999999999,54.0905448868455,462.3558142364917
-10.2244,-2.1733,99.4522,22.1,100.0,6.0,192.0,457.6101814718323,36.773531787111025,54.065973800531054,462.25804519746396
-10.3242,-1.6352,99.4522,21.8,100.0,6.0,188.99999999999997,457.65608484310627,36.83054488684549,54.064076673956514,462.3078037597785
-10.3956,-1.0926,99.4522,23.3,100.0,6.0,186.0,457.5616851350241,36.91457108631444,54.041897126574526,462.2184633992121
-10.4385,-0.5471,99.4522,24.0,100.0,6.0,182.99999999999997,457.61275495394557,36.8105448868455,54.050544886845486,462.2617344253915
-10.4528,0.0,99.4522,23.3,100.0,6.0,180.0,457.76828434525765,36.77701309973447,54.07163466053648,462.41549770720405
-10.4385,0.5471,99.4522,24.4,100.0,6.0,176.99999999999997,457.694621560802,36.8094551131545,54.115923326043486,462.3503387571413
-10.3956,1.0926,99.4522,23.2,100.0,6.0,173.99999999999997,457.7058728515559,36.821897126574534,54.13140271421662,462.3642794492384
-10.3242,1.6352,99.4522,23.4,100.0,6.0,170.99999999999997,457.6795055876421,36.834076673956524,54.11945511315451,462.3377493360413
-10.2244,2.1733,99.4522,23.6,100.0,6.0,167.99999999999997,457.6349345013277,36.79,54.09103929920341,462.28679183868365
-10.0967,2.7054,99.4522,23.4,100.0,6.0,164.99999999999997,457.7672755657725,36.78,54.0594551131545,462.4133125960379
-9.9412,3.2301,99.4522,23.3,100.0,6.0,161.99999999999997,457.6900504744875,36.81755798657996,54.07348131262344,462.3414931202917
-9.7586,3.746,99.4522,23.0,100.0,6.0,159.0,457.6354289136855,36.8105448868455,54.074621560802015,462.28699604122903
-9.5492,4.2516,99.4522,23.2,100.0,6.0,155.99999999999997,457.58701309973446,36.99999999999999,54.082986900265524,462.2551719879301
-9.3136,4.7455,99.4522,22.7,100.0,6.0,152.99999999999997,457.62950558764203,36.902986900265525,54.12298690026552,462.2941623442342
-9.0524,5.2264,99.4522,23.0,100.0,6.0,150.0,457.6118166037174,36.814026199468934,54.10999999999999,462.268038393711
-8.7665,5.693,99.4522,23.0,100.0,6.0,147.0,457.6577699781304,36.8994551131545,54.098647760270964,462.3190109637423
-8.4565,6.144,99.4522,23.2,100.0,6.0,143.99999999999997,457.6029869002655,36.96999999999999,54.05597380053105,462.2654246464559
-8.1234,6.5782,99.4522,23.0,100.0,6.0,141.0,457.59054488684546,36.931089773690985,54.05108977369099,462.2494266815657
-7.768,6.9943,99.4522,22.2,100.0,6.0,138.0,457.55701309973443,36.967013099734466,54.05701309973446,462.21979723885835
-7.3913,7.3913,99.4522,24.2,100.0,6.0,135.0,457.5789607007966,36.932179547381985,54.04651868737655,462.23751183170555
-6.9943,7.768,99.4522,24.2,100.0,6.0,131.99999999999997,457.48673067892696,36.919455113154505,54.05054488684549,462.1456656896288
-6.5782,8.1234,99.4522,22.6,100.0,6.0,129.0,457.4831683720978,36.973531787111014,54.05566086000543,462.1470608665575
