x,y,z,B
-20.0,-50.0,-85.0,45.860588
-15.0,-50.0,-85.0,45.840797
-10.0,-50.0,-85.0,45.833546
-5.0,-50.0,-85.0,45.834736
0.0,-50.0,-85.0,45.81072
5.0,-50.0,-85.0,45.802883
10.0,-50.0,-85.0,45.801605
15.0,-50.0,-85.0,45.791428
20.0,-50.0,-85.0,45.79287
25.0,-50.0,-85.0,45.798695
30.0,-50.0,-85.0,45.788124
35.0,-50.0,-85.0,45.802082
40.0,-50.0,-85.0,45.783268
45.0,-50.0,-85.0,45.79438
50.0,-50.0,-85.0,45.77642
55.0,-50.0,-85.0,45.78396
60.0,-50.0,-85.0,45.779083
65.0,-50.0,-85.0,45.778873
70.0,-50.0,-85.0,45.779655
75.0,-50.0,-85.0,45.762947
80.0,-50.0,-85.0,45.813473
85.0,-50.0,-85.0,45.868473
-85.0,-45.0,-85.0,45.959736
-80.0,-45.0,-85.0,45.939964
-75.0,-45.0,-85.0,45.941383
-70.0,-45.0,-85.0,45.951027
-65.0,-45.0,-85.0,45.953846
-60.0,-45.0,-85.0,45.966965
-55.0,-45.0,-85.0,45.97528
-50.0,-45.0,-85.0,45.96029
-45.0,-45.0,-85.0,45.966885
-40.0,-45.0,-85.0,45.967045
-35.0,-45.0,-85.0,45.947136
-30.0,-45.0,-85.0,45.92847
-25.0,-45.0,-85.0,45.904503
-20.0,-45.0,-85.0,45.89069
-15.0,-45.0,-85.0,45.856407
-10.0,-45.0,-85.0,45.8484
-5.0,-45.0,-85.0,45.854874
0.0,-45.0,-85.0,45.838375
5.0,-45.0,-85.0,45.819077
10.0,-45.0,-85.0,45.823345
15.0,-45.0,-85.0,45.80459
20.0,-45.0,-85.0,45.826992
25.0,-45.0,-85.0,45.808823
30.0,-45.0,-85.0,45.81718
35.0,-45.0,-85.0,45.81585
40.0,-45.0,-85.0,45.81729
45.0,-45.0,-85.0,45.811447
50.0,-45.0,-85.0,45.796482
55.0,-45.0,-85.0,45.80755
60.0,-45.0,-85.0,45.80496
65.0,-45.0,-85.0,45.797817
70.0,-45.0,-85.0,45.81038
75.0,-45.0,-85.0,45.79342
80.0,-45.0,-85.0,45.90045
85.0,-45.0,-85.0,45.842598
-85.0,-40.0,-85.0,45.976738
-80.0,-40.0,-85.0,45.950104
-75.0,-40.0,-85.0,45.96485
-70.0,-40.0,-85.0,45.973766
-65.0,-40.0,-85.0,45.967117
-60.0,-40.0,-85.0,45.982834
-55.0,-40.0,-85.0,45.98947
-50.0,-40.0,-85.0,45.98492
-45.0,-40.0,-85.0,45.987793
-40.0,-40.0,-85.0,45.985306
-35.0,-40.0,-85.0,45.970177
-30.0,-40.0,-85.0,45.94064
-25.0,-40.0,-85.0,45.924126
-20.0,-40.0,-85.0,45.9015
-15.0,-40.0,-85.0,45.87722
-10.0,-40.0,-85.0,45.872128
-5.0,-40.0,-85.0,45.862606
0.0,-40.0,-85.0,45.850266
5.0,-40.0,-85.0,45.834045
10.0,-40.0,-85.0,45.83127
15.0,-40.0,-85.0,45.823467
20.0,-40.0,-85.0,45.841404
25.0,-40.0,-85.0,45.834896
30.0,-40.0,-85.0,45.828728
35.0,-40.0,-85.0,45.8422
40.0,-40.0,-85.0,45.83863
45.0,-40.0,-85.0,45.840244
50.0,-40.0,-85.0,45.81467
55.0,-40.0,-85.0,45.84401
60.0,-40.0,-85.0,45.828827
65.0,-40.0,-85.0,45.825745
70.0,-40.0,-85.0,45.819984
75.0,-40.0,-85.0,45.82145
80.0,-40.0,-85.0,45.90505
85.0,-40.0,-85.0,45.951168
